,sim_num,dates,days,n_res_quar,n_res_iso,n_nonres_quar,n_nonres_iso
0,0,2020-09-02,0,0,0,0,0
1,0,2020-09-03,1,0,0,0,0
2,0,2020-09-04,2,16,0,1,0
3,0,2020-09-05,3,16,0,1,0
4,0,2020-09-06,4,28,1,1,0
5,0,2020-09-07,5,72,2,1,0
6,0,2020-09-08,6,111,2,6,1
7,0,2020-09-09,7,156,7,7,1
8,0,2020-09-10,8,201,11,9,1
9,0,2020-09-11,9,248,19,13,2
10,0,2020-09-12,10,280,28,17,2
11,0,2020-09-13,11,318,46,23,5
12,0,2020-09-14,12,337,54,24,6
13,0,2020-09-15,13,428,65,30,8
14,0,2020-09-16,14,460,60,31,10
15,0,2020-09-17,15,511,64,33,8
16,0,2020-09-18,16,533,66,37,7
17,0,2020-09-19,17,590,63,50,11
18,0,2020-09-20,18,631,60,52,11
19,0,2020-09-21,19,614,62,53,8
20,0,2020-09-22,20,652,60,51,11
21,0,2020-09-23,21,700,59,65,11
22,0,2020-09-24,22,713,61,67,12
23,0,2020-09-25,23,736,56,70,11
24,0,2020-09-26,24,784,60,77,8
25,0,2020-09-27,25,778,59,73,7
26,0,2020-09-28,26,824,59,73,8
27,0,2020-09-29,27,783,64,72,9
28,0,2020-09-30,28,848,58,72,8
29,0,2020-10-01,29,833,51,76,8
30,0,2020-10-02,30,852,51,78,9
31,0,2020-10-03,31,917,49,74,7
32,0,2020-10-04,32,921,49,74,9
33,0,2020-10-05,33,964,42,73,6
34,0,2020-10-06,34,941,45,74,6
35,0,2020-10-07,35,924,45,65,4
36,0,2020-10-08,36,938,38,69,5
37,0,2020-10-09,37,935,45,68,6
38,0,2020-10-10,38,904,49,63,4
39,0,2020-10-11,39,937,50,62,7
40,0,2020-10-12,40,896,49,61,6
41,0,2020-10-13,41,913,54,61,6
42,0,2020-10-14,42,852,56,63,7
43,0,2020-10-15,43,916,49,62,7
44,0,2020-10-16,44,900,40,60,9
45,0,2020-10-17,45,858,32,57,8
46,0,2020-10-18,46,905,38,57,8
47,0,2020-10-19,47,883,37,58,7
48,0,2020-10-20,48,913,36,62,7
49,0,2020-10-21,49,891,33,63,9
50,0,2020-10-22,50,848,42,60,8
51,0,2020-10-23,51,831,42,67,7
52,0,2020-10-24,52,812,39,64,6
53,0,2020-10-25,53,793,35,63,8
54,0,2020-10-26,54,799,33,63,7
55,0,2020-10-27,55,749,30,61,9
56,0,2020-10-28,56,754,25,58,10
57,0,2020-10-29,57,714,19,57,11
58,0,2020-10-30,58,746,14,57,10
59,0,2020-10-31,59,724,15,52,10
60,0,2020-11-01,60,675,14,54,10
61,0,2020-11-02,61,728,18,58,10
62,0,2020-11-03,62,721,26,59,11
63,0,2020-11-04,63,774,29,54,11
64,0,2020-11-05,64,757,37,56,11
65,0,2020-11-06,65,737,42,53,11
66,0,2020-11-07,66,733,48,52,11
67,0,2020-11-08,67,684,51,55,12
68,0,2020-11-09,68,691,52,55,10
69,0,2020-11-10,69,707,51,59,10
70,0,2020-11-11,70,669,48,68,11
71,0,2020-11-12,71,678,41,69,10
